LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
179          2.50000000e-03   4.45000000e-01   4.97562880e-05   1.75250439e-15  -2.53071761e-15   4.06232258e-15   1.74502038e-02 
180          2.50000000e-03   4.47500000e-01   4.94516458e-05   1.76334641e-15  -2.64608349e-15   4.07319171e-15   1.74878893e-02 
181          2.50000000e-03   4.50000000e-01   4.91493458e-05   1.77115267e-15  -2.52462236e-15   4.08395241e-15   1.75254060e-02 
182          2.50000000e-03   4.52500000e-01   4.88493676e-05   1.77939261e-15  -2.53488840e-15   4.09254810e-15   1.75627554e-02 
183          2.50000000e-03   4.55000000e-01   4.85516905e-05   1.79066831e-15  -2.73892169e-15   4.10066946e-15   1.75999390e-02 
184          2.50000000e-03   4.57500000e-01   4.82562942e-05   1.80064297e-15  -2.72482368e-15   4.11414745e-15   1.76369582e-02 
185          2.50000000e-03   4.60000000e-01   4.79631586e-05   1.81061763e-15  -2.78865608e-15   4.12842842e-15   1.76738143e-02 
186          2.50000000e-03   4.62500000e-01   4.76722634e-05   1.82232701e-15  -2.64610382e-15   4.13582810e-15   1.77105087e-02 
187          2.50000000e-03   4.65000000e-01   4.73835886e-05   1.83273535e-15  -2.97106971e-15   4.14678193e-15   1.77470428e-02 
188          2.50000000e-03   4.67500000e-01   4.70971145e-05   1.84054161e-15  -2.78530183e-15   4.15069522e-15   1.77834179e-02 
189          2.50000000e-03   4.70000000e-01   4.68128214e-05   1.85051627e-15  -2.72927907e-15   4.16134073e-15   1.78196353e-02 
190          2.50000000e-03   4.72500000e-01   4.65306896e-05   1.86439406e-15  -2.67954129e-15   4.17006178e-15   1.78556964e-02 
191          2.50000000e-03   4.75000000e-01   4.62506998e-05   1.87046559e-15  -2.55113449e-15   4.18260126e-15   1.78916024e-02 
192          2.50000000e-03   4.77500000e-01   4.60031027e-05   1.88130761e-15  -2.64676112e-15   4.19577432e-15   1.79273545e-02 
193          2.50000000e-03   4.80000000e-01   4.57576376e-05   1.89214963e-15  -2.78846634e-15   4.20866955e-15   1.79629541e-02 
194          2.50000000e-03   4.82500000e-01   4.55136077e-05   1.90125693e-15  -2.85678463e-15   4.21513410e-15   1.79984024e-02 
195          2.50000000e-03   4.85000000e-01   4.52710077e-05   1.90776214e-15  -2.89006964e-15   4.22707049e-15   1.80337005e-02 
196          2.50000000e-03   4.87500000e-01   4.50298319e-05   1.92033889e-15  -2.67012568e-15   4.23637769e-15   1.80688497e-02 
197          2.50000000e-03   4.90000000e-01   4.47900747e-05   1.93204827e-15  -2.98830513e-15   4.24117189e-15   1.81038512e-02 
198          2.50000000e-03   4.92500000e-01   4.45517304e-05   1.94332397e-15  -2.84789079e-15   4.25455501e-15   1.81387061e-02 
199          2.50000000e-03   4.95000000e-01   4.43147930e-05   1.95069655e-15  -2.82776190e-15   4.26343531e-15   1.81734156e-02 
200          2.50000000e-03   4.97500000e-01   4.40792563e-05   1.95806912e-15  -2.73937909e-15   4.27432815e-15   1.82079808e-02 
201          2.50000000e-03   5.00000000e-01   4.38451144e-05   1.96674274e-15  -2.73605872e-15   4.28503804e-15   1.82424029e-02 
202          2.50000000e-03   5.02500000e-01   4.36123609e-05   1.97715108e-15  -2.95815415e-15   4.29805863e-15   1.82766829e-02 
203          2.50000000e-03   5.05000000e-01   4.33809894e-05   1.98669206e-15  -2.83072651e-15   4.30528212e-15   1.83108221e-02 
